id,Predicted
1,1
2,0
3,1
4,0
5,0
6,1
7,0
8,1
9,0
10,1
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,0
21,0
22,1
23,0
24,0
25,0
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,1
36,1
37,0
38,0
39,0
40,0
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,0
60,0
61,0
62,0
63,1
64,0
65,0
66,0
67,0
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,1
81,0
82,1
83,0
84,0
85,0
86,0
87,0
88,1
89,1
90,0
91,1
92,1
93,0
94,1
95,0
96,1
97,1
98,0
99,1
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,0
109,1
110,0
111,0
112,0
113,1
114,0
115,0
116,1
